STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       1420;19490101;19490131;    5;  5.96;   1.8;    4.5;   -0.9;    1.76;  10.7;  -999;  -6.3;-999;    5;    21.9;    4.3;eor
       1420;19490201;19490228;    5;  4.64;   1.4;    5.6;   -2.8;    1.31;  11.6;  -999; -10.7;-999;    5;    16.9;    8.5;eor
       1420;19490301;19490331;    5;  3.53;   4.3;    9.1;   -0.6;    1.61;  21.7;  -999; -10.0;-999;    5;    30.9;    9.8;eor
       1420;19490401;19490430;    5;  4.53;  12.5;   18.7;    6.1;    1.65;  30.3;  -999;  -0.2;-999;    5;    18.1;    5.0;eor
       1420;19490501;19490531;    5;  5.70;  13.9;   18.4;    8.3;    1.51;  25.7;  -999;  -1.7;-999;    5;    79.0;   27.8;eor
       1420;19490601;19490630;    5;  4.40;  16.0;   21.2;    9.1;    1.43;  28.7;  -999;   2.8;-999;    5;    14.5;    5.3;eor
       1420;19490701;19490731;    5;  3.07;  20.8;   26.9;   12.5;    1.29;  34.5;  -999;   6.4;-999;    5;     3.1;    1.6;eor
       1420;19490801;19490831;    5;  4.50;  18.7;   24.6;   12.6;    0.82;  33.9;  -999;   6.1;-999;    5;    87.0;   36.0;eor
       1420;19490901;19490930;    5;  2.96;  17.6;   23.9;   12.3;    0.98;  32.6;  -999;   7.0;-999;    5;    40.9;   15.5;eor
       1420;19491001;19491031;    5;  4.78;  11.4;   16.3;    6.9;    1.47;  22.1;  -999;  -0.2;-999;    5;    48.1;   29.6;eor
       1420;19491101;19491130;    5;  5.76;   4.4;    7.5;    1.3;    1.76;  12.8;  -999;  -6.2;-999;    5;    45.1;    8.8;eor
       1420;19491201;19491231;    5;  6.37;   3.4;    6.0;    0.8;    2.05;  12.1;  -999;  -6.6;-999;    5;    83.7;   21.8;eor
       1420;19500101;19500131;    5;  5.17;  -0.1;    3.0;   -3.1;    1.76;  10.7;  -999; -12.2;-999;    5;    22.4;   13.0;eor
       1420;19500201;19500228;    5;  6.10;   4.1;    7.7;    0.6;    2.39;  12.8;  -999;  -7.6;-999;    5;    68.6;   11.9;eor
       1420;19500301;19500331;    5;  4.15;   6.0;   11.4;    0.8;    1.45;  17.3;  -999;  -7.4;-999;    5;     4.0;    1.9;eor
       1420;19500401;19500430;    5;  5.48;   8.2;   12.3;    4.0;    2.64;  21.6;  -999;  -1.3;-999;    5;    88.9;   28.6;eor
       1420;19500501;19500531;    5;  4.22;  14.9;   20.9;    8.7;    1.75;  27.3;  -999;   0.6;-999;    5;    70.6;   14.5;eor
       1420;19500601;19500630;    5;  3.71;  18.9;   25.0;   12.6;    1.70;  32.7;  -999;   7.4;-999;    5;    89.4;   21.6;eor
       1420;19500701;19500731;    5;  4.07;  19.8;   25.5;   14.0;    1.63;  32.7;  -999;   9.6;-999;    5;    81.3;   27.8;eor
       1420;19500801;19500831;    5;  4.03;  18.1;   24.7;   12.5;    1.52;  33.1;  -999;   6.9; 258.2;    5;    70.4;   14.0;eor
       1420;19500901;19500930;    5;  6.22;  14.1;   18.0;   10.7;    2.35;  25.2;  -999;   6.1;  89.4;    5;    55.4;    8.0;eor
       1420;19501001;19501031;    5;  4.71;   8.4;   13.1;    4.9;    1.99;  19.2;  -999;  -6.3; 127.1;    5;    22.9;    7.8;eor
       1420;19501101;19501130;    5;  6.82;   5.2;    7.9;    2.6;    2.40;  16.0;  -999;  -3.4;  25.8;    5;   115.7;   25.1;eor
       1420;19501201;19501231;    5;  7.16;  -1.3;    0.8;   -3.6;    2.16;   9.9;  -999; -11.5;  23.3;    5;    63.3;   20.0;eor
       1420;19510101;19510131;    5;  7.32;   3.4;    5.4;    1.1;    2.42;   9.5;  -999;  -6.3;  23.1;    5;    64.9;   12.8;eor
       1420;19510201;19510228;    5;  6.66;   3.7;    7.0;    0.8;    2.18;  10.4;  -999;  -3.2;  56.7;    5;    27.2;    7.9;eor
       1420;19510301;19510331;    5;  5.61;   4.2;    8.3;    0.2;    2.97;  16.8;  -999;  -6.7; 112.8;    5;    52.7;   10.4;eor
       1420;19510401;19510430;    5;  5.04;   8.4;   13.9;    3.2;    2.52;  25.8;  -999;  -2.3; 194.9;    5;    27.1;    7.2;eor
       1420;19510501;19510531;    5;  5.19;  13.3;   18.9;    7.7;    2.18;  27.2;  -999;   0.0; 225.9;    5;    55.3;   13.9;eor
       1420;19510601;19510630;    5;  5.52;  16.3;   21.4;   11.5;    1.93;  26.1;  -999;   6.7; 213.0;    5;   100.1;   23.3;eor
       1420;19510701;19510731;    5;  4.62;  18.7;   24.4;   12.8;    1.83;  32.4;  -999;   6.6; 262.4;    5;    34.1;   10.2;eor
       1420;19510801;19510831;    5;  5.40;  18.2;   24.1;   13.3;    1.99;  32.3;  -999;   5.6; 219.1;    5;    51.9;   13.0;eor
       1420;19510901;19510930;    5;  4.58;  15.2;   21.1;   10.2;    1.85;  29.1;  -999;   1.8; 181.8;    5;    43.1;   14.7;eor
       1420;19511001;19511031;    5;  3.26;   8.3;   14.3;    3.4;    2.08;  19.4;  -999;  -2.1; 179.8;    5;    23.8;   15.1;eor
       1420;19511101;19511130;    5;  6.74;   7.3;   10.4;    4.5;    2.54;  14.5;  -999;  -1.6;  29.7;    5;    53.4;   14.7;eor
       1420;19511201;19511231;    5;  6.94;   2.4;    4.4;    0.1;    2.18;   9.1;  -999;  -4.8;  20.7;    5;    34.8;   12.8;eor
       1420;19520101;19520131;    5;  7.12;   1.3;    3.6;   -0.7;    2.93;  10.3;  -999;  -4.6;  23.0;    5;    57.0;   16.5;eor
       1420;19520201;19520229;    5;  6.61;   0.8;    3.4;   -1.8;    2.00;   9.7;  -999; -12.0;  40.8;    5;    33.8;   13.5;eor
       1420;19520301;19520331;    5;  5.83;   4.7;    9.7;    0.8;    2.08;  16.9;  -999;  -6.7; 123.0;    5;    80.3;   13.3;eor
       1420;19520401;19520430;    5;  4.88;  11.9;   18.0;    5.9;    2.05;  25.1;  -999;  -4.1; 195.7;    5;    32.4;   12.7;eor
       1420;19520501;19520531;    5;  4.76;  14.3;   19.8;    8.2;    2.04;  26.3;  -999;   2.3; 236.8;    5;    26.4;    7.1;eor
       1420;19520601;19520630;    5;  4.77;  17.0;   22.7;   11.5;    2.26;  33.5;  -999;   6.5; 243.7;    5;    69.4;   23.2;eor
       1420;19520701;19520731;    5;  3.97;  20.9;   26.7;   14.3;    2.23;  37.1;  -999;   7.9; 287.7;    5;    42.1;   29.8;eor
       1420;19520801;19520831;    5;  5.43;  19.1;   25.0;   13.4;    2.21;  34.4;  -999;   7.6; 210.9;    5;    68.0;   19.5;eor
       1420;19520901;19520930;    5;  5.86;  11.3;   15.9;    8.2;    2.48;  23.0;  -999;   3.6; 111.4;    5;   104.2;   12.5;eor
       1420;19521001;19521031;    5;  5.91;   8.0;   12.2;    4.4;    2.53;  15.8;  -999;  -1.5; 100.4;    5;    71.8;   17.3;eor
       1420;19521101;19521130;    5;  6.52;   2.9;    5.5;    0.4;    2.43;  11.2;  -999;  -5.5;  38.3;    5;   121.5;   22.2;eor
       1420;19521201;19521231;    5;  6.49;   0.9;    3.3;   -1.3;    2.48;  10.4;  -999;  -9.6;  40.6;    5;    63.0;   16.7;eor
       1420;19530101;19530131;    5;  6.81;  -0.2;    1.7;   -2.5;    2.25;   8.4;  -999; -10.4;  23.9;    5;    14.0;    4.7;eor
       1420;19530201;19530228;    5;  5.84;   1.5;    4.8;   -1.4;    3.04;  14.0;  -999; -15.5;  59.7;    5;    21.5;    8.5;eor
       1420;19530301;19530331;    5;  2.83;   6.0;   13.6;   -0.5;    2.15;  22.3;  -999;  -6.5; 201.6;    5;     4.5;    1.5;eor
       1420;19530401;19530430;    5;  4.36;  10.7;   16.5;    4.7;    2.46;  24.0;  -999;   0.0; 217.6;    5;    48.9;   13.2;eor
       1420;19530501;19530531;    5;  4.68;  15.4;   21.3;    9.3;    2.46;  31.5;  -999;  -2.6; 244.5;    5;    28.7;   10.9;eor
       1420;19530601;19530630;    5;  5.60;  17.4;   22.4;   12.6;    2.08;  28.7;  -999;   3.5; 194.7;    5;    83.1;   22.6;eor
       1420;19530701;19530731;    5;  5.12;  18.6;   23.7;   13.7;    2.15;  30.5;  -999;   9.4; 209.0;    5;    78.3;   18.9;eor
       1420;19530801;19530831;    5;  4.15;  18.1;   24.1;   12.0;    1.95;  32.3;  -999;   6.7; 253.5;    5;    12.5;    3.8;eor
       1420;19530901;19530930;    5;  4.23;  14.8;   21.0;    9.5;    2.55;  32.4;  -999;   2.5; 190.3;    5;    21.1;    9.2;eor
       1420;19531001;19531031;    5;  5.42;  11.1;   16.3;    7.0;    1.45;  21.9;  -999;  -1.5; 104.5;    5;    49.1;   28.9;eor
       1420;19531101;19531130;    5;  6.33;   5.0;    7.6;    2.0;    1.70;  12.9;  -999;  -3.4;  43.6;    5;     7.7;    5.1;eor
       1420;19531201;19531231;    5;  6.87;   3.4;    5.9;    1.4;    1.58;  15.8;  -999;  -4.1;  30.1;    5;    27.5;    8.1;eor
       1420;19540101;19540131;    5;  4.93;  -1.9;    1.4;   -4.8;    3.04;  12.6;  -999; -13.9;  84.8;    5;    35.7;    7.5;eor
       1420;19540201;19540228;    5;  5.13;  -1.2;    2.2;   -4.3;    2.28;   8.1;  -999; -15.7;  71.6;    5;    23.8;    6.7;eor
       1420;19540301;19540331;    5;  4.70;   6.3;   11.7;    1.6;    2.35;  18.8;  -999;  -5.2; 131.9;    5;    27.4;    6.7;eor
       1420;19540401;19540430;    5;  4.76;   8.4;   12.8;    4.1;    2.64;  19.0;  -999;  -1.9; 174.3;    5;    33.6;    8.4;eor
       1420;19540501;19540531;    5;  4.85;  13.9;   19.4;    7.6;    2.34;  28.5;  -999;   0.9; 213.8;    5;    42.6;   14.0;eor
       1420;19540601;19540630;    5;  4.76;  17.5;   22.3;   11.9;    2.22;  32.1;  -999;   5.5; 201.9;    5;    44.5;   11.4;eor
       1420;19540701;19540731;    5;  5.81;  16.2;   20.2;   12.1;    2.75;  26.9;  -999;   8.0; 122.4;    5;    77.1;   13.4;eor
       1420;19540801;19540831;    5;  5.75;  17.1;   22.0;   12.8;    2.23;  31.2;  -999;   5.9; 150.5;    5;    92.8;   16.0;eor
       1420;19540901;19540930;    5;  5.78;  14.3;   18.7;   10.4;    2.36;  29.4;  -999;   1.6; 106.6;    5;    90.5;   18.2;eor
       1420;19541001;19541031;    5;  5.68;  10.6;   14.7;    7.1;    2.09;  20.8;  -999;  -0.8;  88.3;    5;    53.1;   10.7;eor
       1420;19541101;19541130;    5;  5.69;   4.9;    8.5;    1.2;    2.04;  14.6;  -999;  -5.0;  62.3;    5;    40.0;   10.8;eor
       1420;19541201;19541231;    5;  6.68;   4.2;    6.5;    1.9;    2.76;  10.7;  -999;  -4.2;  21.5;    5;    93.6;   17.9;eor
       1420;19550101;19550131;    5;  6.05;  -1.0;    1.8;   -3.5;    1.85;  10.2;  -999;  -8.9;  45.2;    5;    49.0;   11.2;eor
       1420;19550201;19550228;    5;  6.25;  -0.3;    3.0;   -3.6;    2.54;  10.5;  -999; -15.7;  52.2;    5;    48.7;    8.9;eor
